sentence_id,first_word_idx,last_word_idx,onset_first_word,offset_last_word,duration_sentence,word_count,text,first_word,last_word
1,1,21,849424.7,856813.85,7389.14999999991,21,"al viajar por India, sobre todo por los lugares sagrados y ashrams, se ve mucha gente con abalorios colgados del cuello.","al",cuello.
2,22,46,857873.36,870102.78,12229.4199999999,25,"Tambien se ven muchas fotografias antiguas de yoguis desnudos, esqueleticos y aterradores, o a veces incluso yoguis rechonchos, bonachones y radiantes que Tambien llevan abalorios.","Tambien",abalorios.
3,47,72,871621.81,882485.82,10864.01,26,"Estos collares de cuenta se llaman japamalas en India Los hindues y budistas devotos los usan desde hace siglos para mantenerse concentrados durante sus meditaciones religiosas.","Estos",religiosas.
4,73,91,883140,887628.05,4488.05000000005,19,"El collar se sostiene en la mano y se toca una cuenta cada vez que se repite un mantra.","El",mantra.
5,92,126,888504.7,901473.82,12969.1200000001,35,"En la Edad Media, cuando los cruzados llegaron a Oriente durante las guerras santas, vieron a los devotos rezar con sus japamalas y, admirados, llevaron la idea a Europa, donde se convirtio en el rosario.","En",rosario.
6,127,132,902781.36,905483.57,2702.20999999996,6,"El japamala tradicional tiene 108 abalorios.","El",abalorios.
7,133,168,906428.34,920883.75,14455.4099999999,36,"En los circulos mas esotericos de la filosofia oriental, el numero 108 se considera el mas afortunado, un perfecto digito de tres cifras, multiplo de tres y cuyos componentes suman nueve, que es tres veces tres.","En",tres.
8,169,189,921646.71,929880,8233.29000000004,21,"Y tres Por supuesto, es el numero que representa el supremo equilibrio, como sabe cualquiera que haya estudiado la santisima Trinidad.","Y",Trinidad.
9,190,193,930608,932088.11,1480.10999999999,4,"O un sencillo taburete.","O",taburete.
10,194,220,933198.27,944033.68,10835.41,27,"Dado que todo este libro es sobre mi lucha por hallar el equilibrio, he decidido estructurarlo como un japamala dividiendo mi historia en 108 cuentos o abalorios.","Dado",abalorios.
11,221,248,944998.07,956550,11551.9300000001,28,"Este rosario de 108 cuentos se divide a su vez en tres secciones sobre Italia, India e Indonesia, los tres paises que visite durante este ano de introspeccion.","Este",introspeccion.
12,249,273,957457.05,967076.05,9619.00000000012,25,"Es decir, hay 36 cuentos en cada seccion cosa que tiene un significado especial para mi ya que esto lo escribo durante mi ano 36th.","Es",36th.
13,274,314,968369.63,982534.18,14164.5499999999,41,"Y ahora, antes de ponerme a lo Louis Farrakhan con el asunto de la numerologia permitidme acabar diciendo que tambien me gusta la idea de enhebrar estos cuentos como si fueran un japamala porque asi les doy una forma mas estructurada.","Y",estructurada.
14,315,328,983455.97,989123.87,5667.90000000002,14,"La investigacion espiritual sincera es y siempre ha sido, una suerte de disciplina metodica.","La",metodica.
15,329,350,990140,996937.18,6797.18000000005,22,"Buscar la verdad no es una especie de venada facilona, ni siquiera hoy en dia en estos tiempos tan venados y facilones.","Buscar",facilones.
16,351,376,998186.74,1007980,9793.26000000001,26,"Como eterna buscadora que soy, ademas de escritora me resulta util seguir la estructura del collar todo lo posible para poder concentrarme en mi objetivo final.","Como",final.
17,377,408,1009268.13,1022710,13441.87,32,"El caso es que todo Japamala tiene un abalorio de mas, un abalorio especial, el numero 109, que queda fuera del circulo equilibrado que forman los otros 108, colgando como un amuleto.","El",amuleto.
18,409,433,1023944.03,1031837.22,7893.18999999994,25,"Al principio yo creia que el abalorio 109 era de repuesto, como el boton extra de un jersey o el segundon de una familia real.","Al",real.
19,434,442,1032750.19,1035019.34,2269.15000000002,9,"Pero parece ser que tiene un proposito mas elevado.","Pero",elevado.
20,443,465,1036134.08,1043235.88,7101.80000000005,23,"Cuando estas rezando y lo alcanzas con los dedos, debes interrumpir la concentracion de la meditacion para dar las gracias a tus maestros.","Cuando",maestros.
21,466,479,1044289.25,1049399.07,5109.82000000007,14,"Asi que aqui en mi abalorio 109, me detengo incluso antes de haber empezado.","Asi",empezado.
22,480,504,1050445.92,1058587.71,8141.79000000004,25,"Quiero dar las gracias a todos mis maestros que han aparecido en mi vida a lo largo de este ano de la manera mas variopinta.","Quiero",variopinta.
23,505,535,1059863.78,1070890,11026.22,31,"Pero ante todo, quiero dar las gracias a mi guru una mujer que es la compasion personificada y que tan generosamente me permitio estudiar en su ashram mientras estuve en India.","Pero",India.
24,536,566,1071785.31,1083442.41,11657.0999999999,31,"Por cierto, me gustaria aclarar que escribo sobre mis experiencias en India desde un punto de vista meramente personal, y no como experta en teologia ni como portavoz oficial de nadie.","Por",nadie.
25,567,586,1084246.22,1089722.19,5475.96999999997,20,"Por este motivo, no revelare el nombre de mi guru en este libro, ya que no puedo hablar por ella.","Por",ella.
26,587,593,1090795.14,1093247.89,2452.75,7,"sus ensenanzas hablan mejor por si mismas.","sus",mismas.
27,594,628,1094036.46,1105584.84,11548.3800000001,35,"Y tampoco mencionare el nombre ni el lugar donde se halla su ashram, librando a tan digna institucion de una publicidad que quiza no pueda afrontar por falta de recursos o por falta de interes.","Y",interes.
28,629,633,1106861.68,1108476.69,1615.01000000001,5,"Una ultima expresion de gratitud.","Una",gratitud.
29,634,671,1109032.87,1123145.37,14112.5,38,"Varios nombres de los aparecidos en este libro se han cambiado por una serie de motivos, y he decidido cambiar tambien los de todos aquellos, sean indios u occidentales, a quienes conoci en el mencionado ashram de India.","Varios",India.
30,672,705,1124253.42,1134282.97,10029.55,34,"Lo hago por respeto al hecho de que la gente no suele hacer una peregrinacion espiritual para salir despues como personajes de un libro, a no ser, por supuesto, que se trate de mi.","Lo",mi.
31,706,719,1135643.88,1139200.55,3556.67000000016,14,"Solo he hecho una excepcion en esta politica de anonimato que me he impuesto.","Solo",impuesto.
32,720,737,1139942.12,1146554.16,6612.0399999998,18,"El tal Richard, el Texano que aparece en el libro, se llama efectivamente Richard, y es de Texas.","El",Texas.
33,738,755,1147599.94,1152570,4970.06000000006,18,"He querido conservar su nombre real por lo mucho que significo para mi durante mi estancia en India.","He",India.
34,756,785,1153784.07,1161844.36,8060.29000000004,30,"Y por ultimo al preguntar a Richard si le parecia bien que dijera en mi libro que habia sido un yonqui y un borracho, me dijo que le parecia perfecto.","Y",perfecto.
35,786,801,1162611.81,1167706.66,5094.84999999986,16,"Me dijo la verdad es que llevaba un tiempo pensando en como hacer publica esa noticia.","Me",noticia.
36,802,805,1168639.22,1170300,1660.78000000003,4,"Pero empecemos por Italia.","Pero",Italia.
37,806,814,1189820.47,1193087.87,3267.40000000014,9,"Uf Pero por muchos motivos, es una idea descabellada.","Uf",descabellada.
38,815,836,1194229.22,1202376.77,8147.55000000005,22,"Para empezar, Giovanni tiene diez anos menos que yo y como la mayoria de los veinteaneros italianos, aun vive con su madre.","Para",madre.
39,837,884,1203436.77,1221484.27,18047.5,48,"Esto basta para convertirlo en un companero sentimental bastante improbable, dado que yo soy una estadounidense entrada en la treintena que acaba de salir de un matrimonio fallido y un Divorcio tan interminable como devastador, seguido de una veloz historia de amor que acabo en una tristisima ruptura.","Esto",ruptura.
40,885,905,1222633.43,1229540,6906.57000000007,21,"Estas perididas una detras de otra, me han hecho sentir triste y fragil y como si tuviera unos siete mil anos.","Estas",anos.
41,906,928,1230483.18,1239164.16,8680.97999999998,23,"Aunque solo sea por una cuestion de principios, no estoy dispuesta a imponer mi personaje patetico y destrozado al maravilloso e inocente Giovanni.","Aunque",Giovanni.
42,929,972,1240027.02,1252494.27,12467.25,44,"Y por si eso fuera poco, al fin he llegado a esa edad en que una mujer se empieza a plantear si recuperarse de perder a un hombre joven y guapo de ojos castaños consiste en llevarse a otro a la cama cuanto antes.","Y",antes.
43,973,990,1253494.4,1259657.37,6162.9700000002,18,"Por eso ahora llevo sola tantos meses y de hecho, he decidido pasar este ano entero en celibato.","Por",celibato.
44,991,1007,1260903.74,1267545.15,6641.40999999992,17,"Ante esto, un observador sagaz podria preguntar entonces, por que has venido nada menos que a Italia?","Ante",Italia?
45,1008,1032,1268957.11,1277707.82,8750.70999999996,25,"A lo cual solo puedo responder, sobre todo cuando miro al guapo Giovanni que esta sentado al otro lado de la mesa Una pregunta excelente.","A",excelente.
46,1033,1050,1279022.13,1286056.87,7034.74000000022,18,"Giovanni es mi pareja de intercambio tandem cosa que puede sonar insinuante, pero por desgracia no lo es.","Giovanni",es.
47,1051,1069,1286871.61,1293517.16,6645.54999999981,19,"Lo que significa es que nos reunimos un par de tardes ­aqui en Roma para practicar nuestros idiomas respectivos.","Lo",respectivos.
48,1070,1078,1294589.47,1298235.8,3646.33000000007,9,"Primero hablamos en italiano y el tiene paciencia conmigo.","Primero",conmigo.
49,1079,1088,1299007.09,1301962.62,2955.53000000003,10,"Luego hablamos en ingles y yo tengo paciencia con el.","Luego",el.
