sentence_id,first_word_idx,last_word_idx,onset_first_word,offset_last_word,duration_sentence,word_count,text,first_word,last_word
1,1,22,86917.48,93583.62,6666.14,22,"When you're traveling in India, especially through holy sites and ashrams, you see a lot of people wearing beads around their necks.","When",necks.
2,23,47,94438.66,103330.61,8891.95,25,"You also see a lot of old photographs of naked, skinny and intimidating yogis, or sometimes even plump kindly and radiant yogis wearing beads too.","You",too.
3,48,54,104137.29,107238,3100.71000000001,7,"These strings of beads are called japamalas.","These",japamalas.
4,55,74,108109.77,115766.09,7656.31999999999,20,"They have been used in India for centuries to assist devout Hindus and Buddhists in staying focused during prayerful meditation.","They",meditation.
5,75,94,116810.52,123461.49,6650.97,20,"The necklace is held in one hand and fingered in a circle, one bead touched for every repetition of mantra.","The",mantra.
6,95,123,124457.45,134442.13,9984.68000000001,29,"When the medieval crusaders drove east for the Holy Wars, they witnessed worshipers praying with these japamalas, admired the technique, and brought the idea home to Europe as rosary.","When",rosary.
7,124,131,136023.93,139545.69,3521.76000000001,8,"The traditional japamala is strung with 108 beads.","The",beads.
8,132,165,140241.97,153594.88,13352.91,34,"Amid the more esoteric circles of eastern philosophers, the number 108 is held to be most auspicious, a perfect three digit multiple of three, its components adding up to nine, which is three threes.","Amid",threes.
9,166,192,154375.16,164116.26,9741.10000000001,27,"And three, of course, is the number representing supreme balance as anyone who has ever studied either the Holy Trinity or a simple barstool can plainly see.","And",see.
10,193,221,165201.98,175476.67,10274.69,29,"Being as this whole book is about my efforts to find balance, i have decided to structure it like a japamala dividing my story into 108 tales or beads.","Being",beads.
11,222,248,176556.48,186772.93,10216.45,27,"This string of 108 tales is further divided into three sections about Italy, India, and Indonesia, the three countries i visited during this year of self inquiry.","This",inquiry.
12,249,277,187705.67,195883.42,8177.75,29,"This division means that there are 36 tales in each section, which appeals to me on a personal level because i am writing all this during my 36th year.","This",year.
13,278,315,197236.31,209360.49,12124.18,38,"Now, before I get too Louis Farrakhan here with this numerology business, let me conclude by saying that I also like the idea of stringing these stories along the structure of a japamala because it is so structured.","Now,",structured.
14,316,329,210251.38,215960.03,5708.64999999999,14,"Sincere spiritual investigation is and always has been, and an endeavor of methodical discipline.","Sincere",discipline.
15,330,338,216564.82,218901.02,2336.19999999998,9,"Looking for truth is not some kind of spazzy.","Looking",spazzy.
16,339,354,218901.02,223098.13,4197.11000000002,16,"Free for all, not even during this the Great Age of the spazzy free for all.","Free",all.
17,355,390,223723.77,232609.13,8885.36000000002,36,"As both a seeker and a writer, I find it helpful to hang on to the beads as much as possible, The better to keep my attention focused on what it is, I'm trying to accomplish.","As",accomplish.
18,391,414,233857.35,244376.26,10518.91,24,"In any case, every japamala has a special extra bead, the 109th bead, which dangles outside that balanced circle of 108 like a pendant.","In",pendant.
